"case_id","case_title","court_type","jurisdiction","case_year","resolution_date","category_of_case","case_keywords","number_of_evidences","outcome_in_favor_of","outcome_in_court","main_issue"
"22","Formula One World Championship Ltd vs Commissioer Of Income Tax, ...","Supreme Court","India","2017","2017-04-24 00:00:00","Tax Law","Permanent Establishment, Royalty, Tax Deduction","Low","Respondent","Appeal dismissed","Whether FOWC had a Permanent Establishment in India"
"23","Oil And Natural Gas Commission And Anr vs Association Of Natural Gas Consuming ...","Supreme Court","India","1990","1990-05-04 00:00:00","Commercial Law","Gas Supply, Price Fixation, Contract Law","High","Against Respondent","Appeal allowed","Price fixation of natural gas supplied by ONGC to industries"
"24","Gujarat State Civil Supplies ... vs Mahakali Foods Pvt. Ltd. (Unit 2)","Supreme Court","India","2022","2022-10-31 00:00:00","Commercial Law","Arbitration, MSMED Act, Contract Law","Low","Respondent","Appeal mostly dismissed","Overriding effect of MSMED Act over Arbitration Act"
"25","Harmony Innovation Shipping Ltd vs Gupta Coal India Ltd. And Anr","Supreme Court","India","2015","2015-03-01 00:00:00","Commercial Dispute","Arbitration, Contract Law, Jurisdiction","High","Against Respondent","Appeal dismissed","Jurisdiction of Indian Courts to enforce foreign arbitration award"
"26","R.K. Mittal & Ors vs State Of U.P. & Ors","Supreme Court","India","2011","2011-12-05 00:00:00","Land Use and Zoning","Lease, Development Authority, Residential Use, Commercial Use","High","Against Respondent","Appeal dismissed","Permissibility of commercial use in residential areas"
"27","al Mahal Resorts P.Ltd vs K.P. Sharma & Ors","Supreme Court","India","2014","2014-04-25 00:00:00","Public Interest Litigation","Jal Mahal, Tourism, Environment, Lease Agreement, Public-Private Partnership","Medium","Respondent","Partly in favor of the appellant, partly in favor of the respondent","Validity of lease agreement, environmental concerns, project execution"
"28","Pratap Technocrats (P) Ltd. vs Monitoring Committee Of Reliance ...","Supreme Court of India","India","2021","2021-08-01 00:00:00","Insolvency and Bankruptcy Code (IBC)","Resolution Plan, Corporate Debtor, Creditor Claims, NCLT, NCLAT","Medium","Respondent","Appeal dismissed by the Supreme Court","Fairness and equitability of resolution plan for all stakeholders (financial & operational creditors)"
"29","Commnr.Of Central Excise,New Delhi vs M/S.Connaught Plaza Rest.(P)Ltd.N.D","Supreme Court of India","India","2012","2012-11-01 00:00:00","Excise Duty","Soft Serve, Ice Cream, Classification of Goods, Central Excise Act, Tariff Act","High","Against Respondent","Appeal allowed, impugned orders set aside","Classification of 'soft serve' under the Central Excise Tariff Act"
"30","Arun Kumar Agrawal vs Union Of India & Ors","Supreme Court","India","2013","2013-05-09 00:00:00","Public Interest Litigation","Government Acquisition, Oil and Gas, Public Sector Undertakings, Pre-emption Rights","Low","Respondent","Writ petition dismissed","Judicial review of government's decision to approve the acquisition of majority stake in Cairn India Limited"
"31","Assistant Commercial Taxes Officer vs M/S Bajaj Electricals Ltd","Supreme Court","India","2008","2008-11-06 00:00:00","Tax","Sales Tax, Penalty, Declaration Form, Statutory Compliance","Medium","Against Respondent","Appeal allowed","Imposition of penalty for non-compliance with statutory requirements"
"32","Central Board Of Direct Taxes & Ors. New ... vs Oberoi Hotels (India) Pvt. Ltd","Supreme Court","India","1998","1998-03-30 00:00:00","Tax","Income Tax, Tax Deduction, Foreign Enterprise, Technical Services","Low","Respondent","Appeal dismissed","Approval of agreement under Section 80-0 of the Income Tax Act for deduction of income from technical services rendered to a foreign enterprise"
"33","Ameet Lalchand Shah vs Rishabh Enterprises","Supreme Court","India","2018","2018-05-03 00:00:00","Contract","Arbitration Agreement, Interconnected Agreements, Fraud","High","Against Respondent","Appeal allowed","Whether disputes arising from interconnected agreements with arbitration clauses can be referred to arbitration even if fraud is alleged"
"34","The State Of Bihar vs Bihar Rajya Bhumi Vikas Bank Samiti","Supreme Court","India","2018","2018-07-30 00:00:00","Arbitration","Arbitration and Conciliation Act, 1996, Section 34(5), Mandatory or Directory","High","Against Respondent","Appeal allowed","Whether Section 34(5) of the Arbitration and Conciliation Act, 1996 is mandatory or directory"
"35","Suresh Kumar Kohli vs Rakesh Jain","Supreme Court","India","2018","2018-04-19 00:00:00","Civil","Eviction, Tenancy, Joint Tenancy, Hindu Succession Act","High","Against Respondent","Appeal allowed","Whether legal heirs of a deceased tenant hold the tenancy as joint tenants or tenants-in-common"
"36","Union Of India Ministry Of Petroleum And ... vs Hardy Exploration And Production ...","Supreme Court","India","2018","2018-09-25 00:00:00","Arbitration","Arbitration and Conciliation Act, 1996, Seat of Arbitration, Jurisdiction of Indian Courts","High","Against Respondent","Appeal allowed","Whether Indian courts have jurisdiction to entertain a Section 34 application to challenge an international commercial arbitration award"
"37","Rajvir Singh @ Raju vs State Of Punjab","Punjab-Haryana High Court","India","2018","2018-08-21 00:00:00","Criminal","Narcotic Drugs and Psychotropic Substances Act, 1985, Commercial Quantity, Mixture of Substances","High","Against Respondent","Petition allowed","Whether the total quantity of a mixture containing a narcotic drug or psychotropic substance, including the neutral or non-psychotropic substance, should be considered for determining commercial quantity under the NDPS Act"
"38","Commissioner Of Income Tax vs Ohio University Christ College","Karnataka High Court","Karnataka","2018","2018-07-17 00:00:00","Tax","income tax, charitable trust, faculty teaching charges, permanent establishment","Low","Respondent","Tribunal upheld assessee's claim for deduction of faculty teaching charges","Whether payment to Ohio University for faculty services can be claimed as deduction under section 11 of the Income Tax Act"
"39","Ald Automotive Pvt Ltd vs The Commercial Tax Officer And Ors","Supreme Court of India","India","2018","2018-10-12 00:00:00","Tax","Tamil Nadu VAT Act, 2006, Input Tax Credit, Section 19(11)","Low","Respondent","Appeals dismissed, High Court judgment upheld","Validity of Section 19(11) of Tamil Nadu VAT Act, 2006 and its application to the denial of input tax credit"
"40","Kandla Export Corporation vs M/S. Oci Corporation","Supreme Court of India","India","2018","2018-02-07 00:00:00","Commercial","Arbitration and Conciliation Act, 1996, Commercial Courts Act, 2015, Foreign Award, Execution Petition","Low","Respondent","Appeals dismissed","Whether an appeal lies under Section 13(1) of the Commercial Courts Act, 2015 against an order passed under Section 48 of the Arbitration and Conciliation Act, 1996"
"41","Gopal Singh vs State Of Himachal Pradesh","Himachal Pradesh High Court","Himachal Pradesh","2018","2018-12-26 00:00:00","Criminal","Narcotic Drugs and Psychotropic Substances Act, Default Bail, Charge Sheet","Low","Respondent","Granted default bail","Delay in filing charge sheet by prosecution"
"42","Phonographic Performance Ltd vs Bunglow - 9 And 99 Ors","Bombay High Court","Maharashtra","2018","2018-12-24 00:00:00","Intellectual Property","Copyright, Public Performance, License","Low","Respondent","Interim injunction granted, defendants to deposit license fees","Whether the plaintiff, as a licensee of sound recordings, is entitled to restrain the defendants from public performance without a license"
"43","The Goa Foundation vs M/S Sesa Sterlite Ltd. And Ors.","Supreme Court of India","India","2018","2018-02-07 00:00:00","Environmental Law, Mining Law","illegal mining, environmental clearance, mining lease","Medium","Against Respondent","Second renewal of mining leases quashed","Whether the State of Goa could grant second renewal of mining leases without fresh environmental clearances and competitive bidding"
"44","Batra Hospital Employees Union vs Batra Hospital & Medical Research","Delhi High Court","Delhi","2018","2018-01-22 00:00:00","Labour Law","Payment of Bonus Act, Charitable Institution, Profit Making","Medium","Against Respondent","Judgment in favor of the petitioner, Hospital held liable to pay bonus","Whether a hospital established by a charitable trust is exempt from the Payment of Bonus Act, 1965"
"45","Kalim Khan vs Fimidabee","Supreme Court of India","India","2018","2018-07-03 00:00:00","Motor Vehicle Accident, Insurance Law","Motor Vehicle Act, 1988, Insurance Policy, Accident Caused by Vehicle","Medium","Against Respondent","Case remanded to High Court to decide liability between insurer and vehicle owner","Whether the accident was caused by the use of a motor vehicle and if so, who is liable to pay compensation - the insurer or the vehicle owner"
"46","M/S. Paramount Digital Color Lab . vs M/S. Agfa India Pvt. Ltd. .","Supreme Court of India","India","2018","2018-02-15 00:00:00","Consumer Protection","Consumer Protection Act, 1986, Unfair Trade Practice, Product Defect","High","Against Respondent","Judgment in favor of the petitioner, setting aside the National Commission's order","Whether the appellants were consumers under the Consumer Protection Act, 1986, and whether the respondents were liable for unfair trade practices and product defects"
"47","Global Aviation Services Pvt. Ltd vs Airport Authority Of India","Bombay High Court","Maharashtra","2018","2018-02-21 00:00:00","Arbitration","Arbitration & Conciliation Act, 1996, Section 34, Notice Requirement","Low","Respondent","Petitions dismissed due to non-compliance with Section 34(5) of the Arbitration & Conciliation Act, 1996","Whether the petitioner's failure to issue a prior notice under Section 34(5) of the Arbitration & Conciliation Act, 1996 before filing the arbitration petition renders the petition maintainable"
"48","The Commissioner Of Commercial Taxes vs The Ramco Cements Ltd","Madras High Court","Tamil Nadu","2018","2020-03-09 00:00:00","Tax","Central Goods and Sales Tax Act, 2017 (CGST Act), Tamil Nadu Value Added Tax Act (TNVAT Act), CST Act, Declaration Form 'C'","Low","Respondent","Writ appeals dismissed, judgment and order of Single Judge upheld","Whether the Respondent could use Declaration Form 'C' to purchase High Speed Diesel (HSD) and Natural Gas at a concessional rate for inter-state trade"
"49","M/S Godrej And Boyce Manufacturing Co. ... vs State Of U.P. And 02 Others","Allahabad High Court","Uttar Pradesh","2018","2018-09-18 00:00:00","Tax","GST, E-Way Bill, Seizure of Goods","High","Against Respondent","Petitions allowed, seizure orders quashed","Validity of seizure orders under UPGST Act for non-compliance with E-Way Bill requirements, particularly concerning interstate movement of goods"
"50","Shailesh Nagindas Shah And 3 Ors vs Sanjay Rasiklal Shah And 5 Ors","Bombay High Court","Maharashtra","2018","2018-12-11 00:00:00","Civil","Injunction, Property Rights, Civil Procedure Code","High","Against Respondent","Court modified the interim injunction order","Validity of the interim injunction order granted by the Single Judge"
"51","Shailesh Nagindas Shah And 3 Ors vs Haldiram Foods International Private ...","Bombay High Court","Maharashtra","2018","2018-12-11 00:00:00","Civil","Injunction, Property Rights, Civil Procedure Code","Medium","Against Respondent","Court modified the interim injunction order","Validity of the interim injunction order granted by the Single Judge"
"52","South East Central Railway vs Smt. Swapna Chatterjee","Chattisgarh High Court","Chattisgarh","2018","2018-11-28 00:00:00","Administrative Law","Service Law, Pay Scale, Government Employee","Low","Respondent","Writ petition dismissed","Challenge to the order of Central Administrative Tribunal upholding the reduction in salary of the employee"
"53","M/S Maya Appliances (P) Ltd Now Known As ... vs Addl. Commissioner Of Commercial Taxes","Supreme Court of India","India","2018","2018-02-06 00:00:00","Tax","VAT, Trade Discount, Taxable Turnover","High","Against Respondent","Judgment in favor of the petitioner, allowing deduction of trade discounts","Whether trade discounts offered by the appellant to its distributors are deductible from the taxable turnover"
"54","Kirloskar Electric Co Ltd vs The State Of Karnataka","Karnataka High Court","Karnataka","2018","2018-01-10 00:00:00","Tax","VAT, Input Tax Credit, Tax Period","Medium","Against Respondent","Writ petitions allowed, impugned orders quashed","Whether Input Tax Credit (ITC) can be denied on the ground that it is not claimed in the same tax period as the input invoices"
"55","Tej Singh And Anr vs State Of Haryana And Ors","Punjab-Haryana High Court","Haryana","2018","2018-06-01 00:00:00","Land Acquisition","Land Acquisition Act, 1894, Compensation Award, Market Value","High","Against Respondent","Appeals allowed, awards modified","Determination of appropriate compensation for land acquired under the Land Acquisition Act, 1894"
"56","Greater Noida Industrial Development ... vs Union Of India And Others","Delhi High Court","Delhi","2018","2018-02-26 00:00:00","Tax","Income Tax Act, 1961, Section 10(46), Exemption from Tax","High","Against Respondent","Writ petition allowed, impugned order quashed","Whether the activities of the Greater Noida Industrial Development Authority are ""commercial activities"" within the meaning of Section 10(46) of the Income Tax Act, 1961"
"57","Geeta Jai Vatika Colony vs The Commissioner Commercial Taxes U.P.","Allahabad High Court","Uttar Pradesh","2018","2018-02-21 00:00:00","Tax","VAT, Tax Exemption, Notification","High","Against Respondent","Revision allowed, demand quashed","Validity of tax exemption notification issued under the repealed Uttar Pradesh Trade Tax Act, 1948, under the Uttar Pradesh Value Added Tax Act, 2008"
"58","Benara Bearing & Pistons Ltd vs Mahle Engine Components India Pvt Ltd","Delhi High Court","Delhi","2018","2018-04-05 00:00:00","Arbitration","Arbitration and Conciliation Act, 1996, Arbitration Agreement, Jurisdiction of Arbitrator","Low","Respondent","Appeal dismissed","Whether a valid and concluded arbitration agreement existed between the parties"
"59","Gujarat Co-Operative Milk Marketing ... vs Hindustan Unilever Ltd. And 3 Ors","Bombay High Court","Maharashtra","2018","2018-12-13 00:00:00","Intellectual Property","Trademark, Disparagement, Advertising","Medium","Against Respondent","Appeal partly allowed, injunction modified","Whether the advertisements of the respondent disparaged the petitioner's product"
"60","State Of Chhattisgarh vs Ultra Tech Cement Ltd.","High Court","Chhattisgarh","2018","2018-11-26 00:00:00","Tax Dispute","Tax, Assessment, Reopening, Amendment, Market Value","Medium","Against Respondent","Appeals dismissed","Whether a clarificatory amendment to the definition of ""Market Value"" can be used retrospectively to reopen assessments"
"61","Base Industries Group And Anr vs Mahesh P. Raheja And 4 Ors","High Court","Bombay","2018","2018-12-20 00:00:00","Contract Dispute","Contract, Consent Decree, Execution, Contempt","Medium","Against Respondent","Appeal dismissed","Maintainability of the appeal against an order passed in a commercial execution application"
"62","M/S Acecon Enterprises India Private ... vs State Of Chhattisgarh","High Court","Chhattisgarh","2018","2018-11-13 00:00:00","Land Acquisition","Land Acquisition, Amendment Act, Validity","Low","Respondent","Writ petitions disposed of","Maintainability of the writ petition to challenge the validity of the Nagar Tatha Gram Nivesh (Amendment and Validation) Act, 2017"
"63","Siem Offshore Rederi As vs Altus Uber Imo No. 9385300","High Court","Bombay","2018","2018-09-25 00:00:00","Maritime Law","Admiralty, Arrest of Ship, Maritime Claim, Charterparty, Arbitration","High","Against Respondent","Application dismissed","Maintainability of the admiralty suit for arrest of the ship as security for the maritime claim pending arbitration"
"64","Antrix Corporation Ltd. vs Devas Multimedia Pvt. Ltd.","High Court","Delhi","2018","2018-05-30 00:00:00","Arbitration","Arbitration, Jurisdiction, Section 9 Arbitration Act, Section 42 Arbitration Act","High","Against Respondent","Appeal allowed","Maintainability of the Section 9 petition before the Delhi High Court, applicability of Section 42 of the Arbitration Act"
"65","Goldstone Infratech Limited vs State Of Gujarat & 2","High Court","Gujarat","2018","2018-02-22 00:00:00","Public Procurement","Public Procurement, Tender, Eligibility Criteria, Judicial Review","Medium","Respondent","Petition dismissed","Maintainability of the petition challenging the eligibility criteria in the RFP"
"66","Mrs. Vasumati Mahajan And Anr. vs South Delhi Municipal Corporation And ...","High Court","Delhi","2018","2018-04-13 00:00:00","Land Use and Zoning","MPD 2021, Pre-primary School, Residential Property, Land Use Regulations","High","Against Respondent","Petition allowed","Permissibility of a pre-primary school in a residential area and compliance with land use regulations"
"67","Axis Bank Limited vs Madhav Prasad Aggarwal And 2 Ors","High Court","Bombay","2018","2018-10-26 00:00:00","Banking and Finance","Securitisation Act, Mortgage, Civil Procedure Code","High","Against Respondent","Appeal allowed","Maintainability of the suit against the bank under Section 34 of the Securitisation Act"
"68","Samvit Buildcare Private Limited vs Ministry Of Civil Aviation","High Court","Gujarat","2018","2018-03-12 00:00:00","Public Procurement","Tender, Public Procurement Policy, MSME Act, QCBS","High","Against Respondent","Petition dismissed","Challenge to the tender process and eligibility criteria"
"69","Samvit Buildcare Private Limited vs Ministry Of Civil Aviation","High Court","Gujarat","2018","2018-03-12 00:00:00","Public Procurement","Tender, Public Procurement Policy, MSME Act, QCBS","High","Against Respondent","Petition dismissed","Challenge to the tender process, eligibility criteria, and applicability of MSME Act"
"70","M/S.Shanthi Aqua Farms vs The Secretary To Government Of ...","High Court","Madras","2018","2018-10-03 00:00:00","Environmental Law, Water Resource Management","Groundwater Extraction, Government Regulations, No Objection Certificate","High","Against Respondent","Petition disposed of with directions","Validity of Government Orders regulating groundwater extraction"
"71","M/S. Magic Frames vs M/S. Radiance Media P. Ltd","High Court","Madras","2018","2018-08-03 00:00:00","Commercial Dispute","Loan Agreement, Mortgage Deed, Cheque Dishonor, Summary Judgment, Commercial Courts Act","High","Against Respondent","Appeal Dismissed","Maintainability of Appeal under Commercial Courts Act"
"72","Eros Resorts & Hotels Ltd vs Explorer Associates Pvt Ltd & Anr","High Court","Delhi","2018","2018-05-11 00:00:00","Commercial Dispute, Contract Law","Privity of Contract, Sub-contract, Liability","Low","Respondent","Appeal Allowed","Misjoinder of Party, No Privity of Contract"
"73","Shri Balaji Industrial Products Ltd vs Aia Engineering Ltd And Ors","High Court","Rajasthan","2018","2018-07-02 00:00:00","Civil Procedure Code, Commercial Courts Act","Writ Petition, Order V Rule 1, Order VI Rule 15A, Order VII Rule 11","High","Against Respondent","Writ Petition Allowed","Maintainability of Writ Petition, Order VII Rule 11, Misconduct of Defendant"
"74","NHPC Ltd vs Jaiparkash Associates Ltd And Ors","High Court","Punjab-Haryana","2018","2018-09-12 00:00:00","Arbitration, Civil Procedure Code","Arbitration and Conciliation Act, 1996, Territorial Jurisdiction, Section 34, Section 37","High","Against Respondent","Appeal Allowed","Territorial Jurisdiction of Commercial Court to entertain Section 34 objections"
"75","Impresario Entertainment & Ors vs S & D Hospitality","High Court","Delhi","2018","2018-01-03 00:00:00","Intellectual Property, Trademark","Trademark Infringement, Passing Off, Territorial Jurisdiction","High","Against Respondent","Suit Dismissed","Territorial Jurisdiction of Court"
"76","M/S Tata Teleservices Limited vs State Of Chhattisgarh","High Court","Chhattisgarh","2018","2018-03-20 00:00:00","Tax Law, Constitutional Law","VAT Act, Reassessment, Jurisdiction, Penalty","Medium","Against Respondent","Writ Petition Allowed","Jurisdiction of Assessing Officer to Reassess and Levy Penalty"
"77","Deepdharshan Builders Pvt Ltd vs Saroj Satish Sunderrao Trasikar And 3","High Court","Bombay","2018","2018-11-22 00:00:00","Contract Law, Arbitration","Arbitration Agreement, Appointment of Arbitrator, Limitation","Medium","Against Respondent","Application Partly Allowed","Delay in Filing Application"
"78","Association of School Vendors & Ors. vs Central Board of Secondary Education & Ors.","High Court","Delhi","2018","2018-02-21 00:00:00","Education Law, Administrative Law","CBSE Circulars, School Commercialization, Right to Education","Medium","Against Respondent","Writ Petition Allowed","Validity of CBSE Circulars Regarding Sale of Books and Stationery in Schools"
"79","Anand Agarwal And Pramila Anand Agarwal vs Vilas Chandrakant Gaokar And 4 Ors","High Court","Bombay","2018","2018-03-05 00:00:00","Civil Law, Commercial Law","Consent Orders, Jurisdiction, Legal Ethics","Low","Respondent","Application Dismissed","Validity of Consent Orders and Jurisdiction of Court"
"80","Gujarat Maritime Board vs Jogadia Polymers Pvt. Ltd.","High Court","Gujarat","2018","2018-10-08 00:00:00","Civil Procedure Code, Contract Law","Limitation Act, Order VII Rule 11 CPC, Commercial Dispute","High","Against Respondent","Appeal Allowed","Maintainability of Suit, Limitation"
"81","Vadodara Mahanag Seva Sadan Formaly ... vs M S Khurana Engineering Ltd","High Court","Gujarat","2018","2018-09-06 00:00:00","Civil Procedure Code, Arbitration and Conciliation Act, 1996","Execution of Arbitral Award, Jurisdiction of Commercial Court","Low","Respondent","Petition Dismissed","Jurisdiction of Commercial Court to Execute Arbitral Award"
"82","M/S. D. M. Corporation Pvt. Ltd. Through ... vs The State Of Maharashtra Through ...","High Court","Bombay","2018","2018-04-05 00:00:00","Arbitration and Conciliation Act, 1996, Commercial Courts Act, 2015","Jurisdiction of Commercial Court, Arbitration Proceedings, Section 9 Arbitration Act","Low","Respondent","Writ Petition Dismissed","Jurisdiction of Commercial Court to entertain Arbitration Petition"
"83","Xerox Corporation & Anr vs P K Khansaheb & Anr","High Court","Delhi","2018","2018-12-03 00:00:00","Civil Procedure Code, Evidence Act","Filing of Documents, Examination-in-Chief, Admissibility of Evidence","Low","Respondent","Appeal Dismissed","Procedure for Filing and Exhibiting Documents in Civil Suits"
"84","Rachit Malhotra vs One97 Communications Limited","High Court","Delhi","2018","2018-10-30 00:00:00","Contract Law, Company Law","Specific Performance, ESOP, Jurisdiction","Medium","Respondent","Application Dismissed","Jurisdiction of Delhi High Court to entertain the suit"
"85","Superon Schweisstechnik India Limited vs Modi Hitech India Ltd.","High Court","Delhi","2018","2018-04-02 00:00:00","Intellectual Property, Civil Procedure Code","Trademark Infringement, Passing Off, Abuse of Process","Low","Respondent","Suit Dismissed","Maintainability of Suit, Trademark Infringement, Passing Off"
"86","M/S.Hero Ecotech Ltd vs The Commissioner Of Backward Classes","High Court","Madras","2018","2018-03-22 00:00:00","Contract Law, Administrative Law","Government Tender, Technical Bid Rejection, Public Procurement","Low","Respondent","Writ Petition Dismissed","Validity of Tender Process and Rejection of Technical Bid"
